0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2024年1月8日（祝日・月曜） 1回京都3日,9,6,12,ケーブパール,牝3,55.0,藤岡 康太,1:35.2,クビ,1313,36.0,422(-12),友道 康夫,11
2024年1月8日（祝日・月曜） 1回京都3日,10,4,7,タイキヴァンクール,牡3,57.0,浜中 俊,1:35.4,１ 1/2,67,36.6,506(0),中尾 秀正,8
2024年1月8日（祝日・月曜） 1回京都3日,11,5,10,バレルターン,牡3,57.0,西村 淳也,1:35.5,１／２,1012,36.5,460(-4),茶木 太樹,5
2024年1月8日（祝日・月曜） 1回京都3日,12,7,15,フェリーニ,牡3,57.0,松山 弘平,1:35.6,クビ,33,37.1,506(0),橋口 慎介,14
2024年1月8日（祝日・月曜） 1回京都3日,13,8,17,ナイトスラッガー,牡3,57.0,L.モリス,1:35.8,１ 1/4,107,36.9,516(-6),小栗 実,4
2024年1月8日（祝日・月曜） 1回京都3日,14,1,2,ノボリショウリュウ,牡3,57.0,角田 大河,1:35.9,１／２,1716,36.4,458(+2),石橋 守,15
2024年1月8日（祝日・月曜） 1回京都3日,15,2,3,タイセイレスポンス,牡3,57.0,M.デムーロ,1:35.9,クビ,1313,36.6,480(0),安田 翔伍,9
2024年1月8日（祝日・月曜） 1回京都3日,16,8,18,メイショウサチダケ,牡3,57.0,和田 竜二,1:36.0,クビ,22,37.6,480(+8),鈴木 孝志,13
2024年1月8日（祝日・月曜） 1回京都3日,17,2,4,デルシエロ,牡3,57.0,坂井 瑠星,1:36.3,２,1313,37.0,404(0),清水 久詞,12
2024年1月8日（祝日・月曜） 1回京都3日,18,6,11,シトラール,牡3,57.0,A.ルメートル,1:36.8,３,67,38.0,478(+2),萩原 清,7
2024年1月13日（土曜） 1回小倉1日,1,7,12,ミッキーゴージャス,牝4,54.0,川田 将雅,1:57.9,,101042,35.5,450(+2),安田 隆行,1
2024年1月13日（土曜） 1回小倉1日,2,3,3,タガノパッション,牝6,53.0,菱田 裕二,1:58.0,１／２,7896,35.4,482(-6),武 幸四郎,8
2024年1月13日（土曜） 1回小倉1日,3,2,2,コスタボニータ,牝5,55.0,鮫島 克駿,1:58.1,３／４,4444,35.7,468(+4),杉山 佳明,2
2024年1月13日（土曜） 1回小倉1日,4,4,5,アレグロモデラート,牝5,51.0,富田 暁,1:58.4,１ 3/4,3321,36.2,484(-2),武井 亮,6
2024年1月13日（土曜） 1回小倉1日,5,8,14,テリオスマナ,牝6,49.0,藤懸 貴志,1:58.4,クビ,13131412,35.4,468(-4),松下 武士,13
2024年1月13日（土曜） 1回小倉1日,6,8,13,フラーズダルム,牝6,54.0,斎藤 新,1:58.6,１,9946,36.1,504(+8),松永 昌博,9
2024年1月13日（土曜） 1回小倉1日,7,5,8,ローゼライト,牝6,53.0,幸 英明,1:58.6,クビ,4446,36.1,460(+4),清水 久詞,7
2024年1月13日（土曜） 1回小倉1日,8,5,7,ルージュスティリア,牝5,54.0,L.モリス,1:58.6,アタマ,6644,36.1,492(+2),藤原 英昭,5
